x_m,fe_mode1_uz,theory_mode1,fe_mode2_uy,theory_mode2,fe_mode3_uz,theory_mode3,fe_mode4_uz,theory_mode4
0.23625,0.3997644414987675,0.4003651524766475,0.3999782716162892,0.4003651524766475,1.9355209575494945,1.9364810414423426,1.0773580337178021,1.0735645635996682
0.2375,0.40370436352527495,0.40430069550756653,0.40391293291414854,0.40430069550756653,1.9405900057306793,1.9415440651830207,1.0528445830675814,1.049067674327419
0.23875,0.407654697862748,0.408250592309657,0.4078667385822821,0.408250592309657,1.945515319475766,1.9464029080261376,1.0283084583735924,1.0245412285229132
0.24,0.41162322409818347,0.41221474770752675,0.41183027837014613,0.41221474770752675,1.9501755374671668,1.9510565162951536,1.0037506028032295,1.0000000000000002
0.24125,0.41560212512357775,0.41619306618221363,0.4158121963463235,0.41619306618221363,1.9546882959845997,1.955503880820186,0.9791912595980389,0.9754587714770888
0.2425,0.41959889772871073,0.4201854518734862,0.419804025644943,0.4201854518734862,1.9589342668736058,1.9597440371568573,0.9546473406654947,0.9509323256725823
0.24375,0.4236060506824702,0.42419180858215466,0.4238141410604931,0.42419180858215466,1.9630305703192694,1.96377606579544,0.9301240463897776,0.926435436400333
0.245,0.42763089455926956,0.42821203977238764,0.4278339665369196,0.42821203977238764,1.9668588895461292,1.9675990923602598,0.9056536979709514,0.9019828596704399
0.24625,0.43166563379094247,0.43224604857403937,0.43187122913033815,0.43224604857403937,1.9705368545908208,1.9712122877993117,0.8812247763218315,0.8775893248007844
0.2475,0.4357180160021466,0.43629373778498337,0.43591930987992056,0.43629373778498337,1.9739436930663272,1.974614868564045,0.856888187130864,0.853269525544639
0.24875,0.43978008975041016,0.4403550098734539,0.4399843562854938,0.4403550098734539,1.977199594672178,1.9778060967792814,0.832613149839166,0.8290381112396995
0.25,0.44385956374971736,0.4444297669803977,0.44405880646422724,0.4444297669803977,1.9801800619834855,1.9807852804032304,0.8084678945703634,0.8049096779838726
0.25125,0.4479487179371375,0.44851791092183035,0.44815033148913425,0.44851791092183035,1.9830107328277926,1.9835517733775614,0.7844053816428627,0.7808987598431312
0.2525,0.45205492287437227,0.45261934319120334,0.45225216480757197,0.45261934319120334,1.9855664979583487,1.9861049757675087,0.7605101919118066,0.7570198200967362
0.25375,0.456170593527793,0.4567339649617763,0.4563705543188148,0.4567339649617763,1.9879692618407208,1.98844433389197,0.7367180350083917,0.7332872425251027
0.255,0.46030322830845727,0.4608616770889996,0.46049819816072196,0.4608616770889996,1.9900949474174223,1.9905693404435771,0.7131309210833346,0.709715322745538
0.25625,0.4644451560233879,0.4650023801129025,0.4646425615180382,0.4650023801129025,1.992068886605066,1.99247953459871,0.689666976062446,0.6863182596011097
0.2575,0.46860366709682766,0.4691559742604905,0.4687964484801136,0.4691559742604905,1.9937629755594175,1.9941745021174282,0.6664440313405826,0.6631101466077804
